,LCPINDEX2,OLINDEX3,SINDEX2,GINDEX,D460,BD530_2,BD670,D700,BD875,BD905,BD920_2,BD1200,BD1300,BD1400,BD1450,BD1750,BD1900r2,BD1900_2,BD2100_2,BD2100_3,BD2165,BD2190,D2200,BD2210_2,BD2250,BD2265,BD2290,BD2355,MIN2250,RPEAK1,BDI1000VIS,Category,Color
lcp (High),0.031185473018214317,-0.02413631964940413,-0.005575022783451011,-0.0028611176833155394,0.0,0.005491084062781204,0.007911371466154282,0.006720371669029501,0.013392941443902573,0.03745797854506938,0.02864365380747602,-0.00098110456358258,-0.0597622943487226,-0.005301556041036548,-0.006621057202067737,-0.0003594035578289301,0.0029322442404253746,0.001398298808112819,0.006168078181711278,0.0027415606161992345,0.0020030890305319238,0.00263389809003578,-0.002316168578082811,0.0012774158664284885,0.0019787355303656495,0.0019787355303656495,0.0024004382969022853,-0.0008103722280028425,0.0007106591653794903,0.6928866213242648,0.1826297528515024,lcp (High),cyan
lcp (High),0.020395405509015974,-0.0038158188074534486,-0.002254996423062039,-0.0016115596446848457,0.0,0.0022879903692013537,-0.007271657051931335,-0.00412137030719717,0.008733613743082458,0.023183546946060507,0.015898865015136265,-0.0007800452284365544,-0.028931456031469516,-0.0010795026526306817,-0.0040284329536177665,-0.00027457269026731623,0.0012633063316551674,0.0009622216370109848,0.005146386996884522,0.002264909327397091,0.0012345638820355775,0.0014467897959166143,-0.001294581486906754,0.0008989545162497725,0.00023260726386975517,-0.00037417166389408507,0.001194477942417893,-0.00026676831890726227,2.0683255639530884e-05,0.6865874614922984,0.18559986593687738,lcp (High),cyan
lcp (High),0.013195300160381382,-0.007701331827073657,0.00044881736482527135,-0.00014377622215500097,0.0,0.0014660349975818,-0.00379460558928435,-0.004366495680772964,0.002975628674689701,0.011733885600345717,0.007865080080267317,0.0008728187570952173,-0.01661123249458707,-0.0027645246226957187,-0.0011128917091220991,0.00019608152341010765,0.001072862425333998,-0.00019571586673827746,0.0039081343030421545,0.0031761763114174224,0.0011851174193456826,0.0011801340487889167,-0.000759349475427884,0.0010413116776564202,-0.00040797873943754226,-0.0004995934889757692,1.6510499474930995e-05,0.00030255123508882154,-0.00022290203838970513,0.6942364412882577,0.18792410206401178,lcp (High),cyan
lcp (High),0.026741880344321657,-0.03681426941066129,-0.006806088667024701,-0.00448001639548079,0.0,-0.0023439887633520673,0.019898332500706495,0.009457296208814636,0.01797605129666946,0.04232742293559422,0.02586060945728752,0.0004503894993537205,-0.06040255907292069,-0.004725194461518978,-0.0035119421626550462,0.00017926628605302586,0.004794334946438883,0.00243293875313888,0.0035848232063101504,0.0018181753319965743,7.475896933706316e-05,0.000370815671499658,-0.0008526272304518745,0.001379629139308558,0.0040924144010966446,0.0040924144010966446,0.0017840495183850669,-0.0008992884674268176,0.0026605336233958,0.45945775555111024,0.17765962897518484,lcp (High),cyan
lcp (High),0.013276629971205234,-0.008602740863144397,-0.0011286326188046925,-0.0011594800585252862,0.0,0.003981345592510288,-0.004131886704217269,-0.0003607117181709807,0.004211024332498869,0.01153061921077203,0.009847795020838324,-0.0005243431131076726,-0.02440572681108044,-0.002084959787958862,-0.00295865327306144,0.00036904718947683435,0.001357325284117472,0.00042895909563500645,0.0006690696757577497,0.0006080366418369509,0.0001815079393143737,-0.00012031023484193604,-0.00024328111221305626,-0.00037610796209452957,-0.0007632191056961002,0.000483847443287333,0.0005904430022860563,0.00040852501134147623,-0.00020765829144719916,0.7221327205441089,0.18840563758836026,lcp (High),cyan
lcp (High),0.01228637348820032,-0.0050947121779363344,0.00010074501943047043,-0.001234265547746194,0.0,0.011961336507732345,-0.0062046177699850436,0.002988964169943875,0.0010429622554821716,0.010327824807252917,0.01129682522453368,0.0008241719775333722,-0.032859549880101646,-0.006010253461679493,-0.002850451570888035,-0.00021232836256523946,0.008807754894974096,0.001599279840918344,-0.0025710071163229653,-0.0010586384357489376,-0.0008920991594800753,-0.0018584411055333483,-3.1323646698000474e-05,-0.001124023683366726,-0.0017274361450394515,-0.0009625619730535551,0.0008272298654098398,0.0007326202891831946,-0.0009998798039341228,0.7854842708541708,0.19003313055950377,lcp (High),cyan
lcp (High),0.01672114517276465,-0.011921257978795828,-0.002373025710356691,-0.0011154866896059268,0.0,-0.0052042783267620685,-0.0009993728521600076,-0.00196686074232022,0.010508507371796427,0.02767739860658769,0.020276973975065116,-5.441590935095775e-05,-0.02403925103892779,-0.003282190697881271,-0.0048412673968389885,0.0010897131634611812,0.00031425140910956717,0.00015157905017693096,0.0038127270137680025,0.0025491471298444424,0.00012239827047610952,0.00025983806985729885,-0.00165967174139392,-0.00012222270853690098,-0.00014253784112927548,-0.00014253784112927548,0.0017015247979524917,-0.0013150831736541413,0.0002606948239924911,0.44262999999999997,0.1771751695164671,lcp (High),cyan
lcp (High),0.01641690179447013,-0.02785364426847621,-0.0015342917698020209,-0.0012862129809292355,0.0,0.0034722493262495657,0.010474791246374293,0.004089847263939683,0.00883688714518538,0.02311179342196612,0.016725106568769688,-0.00042615459008432666,-0.032440613925154516,-0.0017489513912647414,-0.002622400637458444,0.0015423610528808585,-0.000702372366255144,0.0001636374205341573,0.0031312865113872768,0.002613947603551381,0.001233472499036714,0.0018034327636714531,-0.0008531977714671957,0.00201170167765663,0.001637630831930359,0.001637630831930359,0.0006436847186459538,-0.0012830165510668845,0.0002896712214941477,0.6685898619723945,0.1851782566004797,lcp (High),cyan
hcp + olivine (High),-0.016703498915555427,0.0672615586552896,-0.001321146863164202,0.0,0.0,0.0009744750114463185,0.0012788645071567517,0.001719512158582015,0.004567246907127176,0.010898681797945065,0.006968507629928844,0.001112943205092809,0.030929746141163283,0.0019526887503651391,0.005272559682102607,-0.000770173911573524,0.001816636964188878,0.0006817258562699102,0.0011616796455233835,-0.00021096843072831994,0.0008526970972817516,0.0010459502248146846,-0.0006543777186278632,0.00011772562342549087,0.0011675228636369717,0.0011675228636369717,0.00018159585327925942,-0.00036252140617132333,0.0002727566914449975,0.6735392018403681,0.18513918498871162,hcp + olivine (High),purple
olivine (High),-0.012506931829381453,0.045003498419092375,-0.0010802574715953472,0.0,0.0,0.0011051543531351848,0.0031274761344868285,-0.00209107607125536,0.006381722946708468,0.009998783477704776,0.003732320103856379,0.00047356097462414315,0.019079972193109418,3.413446186006919e-05,0.005287170810945874,-0.0012230329410292118,-0.00503546793306997,-0.0010903678587006471,-9.015895536079732e-05,-0.00013328674271795293,0.0006568541573881426,0.0009587648537688898,-0.0003261559196259256,-0.0002827976800356957,0.0011197824401257828,0.00011228314784028637,0.0004315432135548747,-0.0009925820003542363,-9.497375598033209e-05,0.6924366813362672,0.1874062737447979,olivine (High),red
