OID,Latitude (N),Longitude (E),Blended LRO/LOLA and SELENE/Kaguya DEM
1,25.9990234375,116.6591796875,77.0
2,25.9990234375,116.6611328125,81.0
3,25.9990234375,116.66308593750003,89.0
4,25.9990234375,116.66503906249997,93.0
5,25.9990234375,116.6669921875,97.5
6,25.9990234375,116.66894531250003,100.0
7,25.9990234375,116.67089843750003,98.0
8,25.9990234375,116.67285156249997,96.5
9,25.9990234375,116.67480468749997,96.0
10,25.9990234375,116.6767578125,99.0
11,25.9990234375,116.6787109375,105.0
12,25.9990234375,116.68066406249997,108.5
13,25.9990234375,116.6826171875,111.5
14,25.9990234375,116.6845703125,112.0
15,25.9990234375,116.6865234375,116.5
16,25.9990234375,116.68847656250003,118.5
17,25.9990234375,116.69042968750003,118.0
18,25.9990234375,116.6923828125,120.0
19,25.9990234375,116.69433593749997,119.5
20,25.9990234375,116.69628906250003,122.0
21,25.9990234375,116.6982421875,123.5
22,25.9990234375,116.70019531249997,127.0
23,25.9990234375,116.7021484375,132.0
24,25.9990234375,116.7041015625,133.5
25,25.9990234375,116.7060546875,128.0
26,25.9990234375,116.70800781250003,115.5
27,25.9990234375,116.7099609375,115.0
28,25.9990234375,116.71191406250003,124.5
29,25.9990234375,116.7138671875,128.5
30,25.999023437500004,116.71582031250003,125.5
31,25.9990234375,116.71777343749997,118.0
32,25.9990234375,116.71972656249997,111.5
33,25.9990234375,116.7216796875,109.0
34,25.9990234375,116.7236328125,105.0
35,25.9990234375,116.72558593749997,100.0
36,25.9990234375,116.7275390625,98.0
37,25.9990234375,116.7294921875,96.0
38,25.9990234375,116.73144531250003,89.0
39,25.9990234375,116.73339843749994,82.0
40,25.9990234375,116.7353515625,73.5
41,25.9990234375,116.7373046875,64.0
42,25.9990234375,116.73925781249997,55.5
43,25.9990234375,116.74121093750003,49.5
44,25.9990234375,116.74316406249997,38.5
45,25.9990234375,116.74511718750006,28.0
46,25.9990234375,116.74707031249997,17.5
