geometry_,crater_id,diam_circ,major_axis,minor_axis,eccentricity
"POLYGON((224.1087 8.7292,223.0388 7.4948,222.2201 6.0856,221.6772 4.5564,221.4203 2.9637,221.4468 1.3614,221.7448 -0.2023,222.2961 -1.6855,223.079 -3.0526,224.0699 -4.2726,225.244 -5.3176,226.5747 -6.1616,228.0321 -6.7797,229.5814 -7.1487,231.1818 -7.2484,232.7855 -7.0646,234.3388 -6.5925,235.7847 -5.8395,237.0673 -4.8277,238.1372 -3.5933,238.9559 -2.1842,239.4988 -0.655,239.7557 0.9377,239.7292 2.5401,239.4312 4.1037,238.8799 5.5869,238.097 6.954,237.1061 8.174,235.932 9.219,234.6013 10.063,233.1439 10.6812,231.5946 11.0501,229.9942 11.1498,228.3905 10.9661,226.8372 10.4939,225.3913 9.7409,224.1087 8.7292))",00-1-000003,558.762,568.529,546.378,0.276416
"POLYGON((212.5802 32.1271,212.4174 32.1786,212.2466 32.2033,212.074 32.2009,211.9057 32.1723,211.7468 32.1191,211.6018 32.0441,211.4743 31.9499,211.367 31.8396,211.2824 31.7161,211.2222 31.5826,211.1881 31.4422,211.1814 31.2983,211.2032 31.1547,211.2537 31.0155,211.3324 30.8853,211.4379 30.7686,211.5671 30.6701,211.7158 30.5935,211.8786 30.542,212.0494 30.5173,212.222 30.5197,212.3903 30.5483,212.5492 30.6015,212.6942 30.6765,212.8217 30.7707,212.929 30.881,213.0136 31.0045,213.0738 31.138,213.1079 31.2784,213.1146 31.4223,213.0928 31.5659,213.0423 31.7051,212.9636 31.8353,212.8581 31.952,212.7289 32.0505,212.5802 32.1271))",02-1-000997,50.7695,51.6078,49.7517,0.265779
"POLYGON((213.5912 31.7408,213.4763 31.7273,213.3667 31.6955,213.2664 31.647,213.1788 31.5842,213.106 31.5098,213.0495 31.4266,213.0101 31.3372,212.9883 31.244,212.9839 31.1494,212.9971 31.0554,213.0277 30.964,213.0753 30.8776,213.1394 30.7986,213.2189 30.7294,213.3122 30.6728,213.4167 30.6313,213.5289 30.6072,213.6448 30.6016,213.7597 30.6151,213.8693 30.6469,213.9696 30.6954,214.0572 30.7582,214.13 30.8326,214.1865 30.9158,214.2259 31.0052,214.2477 31.0984,214.2521 31.193,214.2389 31.287,214.2083 31.3784,214.1607 31.4648,214.0966 31.5438,214.0171 31.613,213.9238 31.6696,213.8193 31.7111,213.7071 31.7352,213.5912 31.7408))",02-1-000998,34.0225,34.5719,32.9293,0.304574
"POLYGON((214.6047 31.1485,214.5735 31.1788,214.5365 31.2038,214.4949 31.2227,214.4502 31.2348,214.4039 31.2401,214.3574 31.2385,214.3121 31.2301,214.2691 31.2154,214.2297 31.1948,214.1948 31.1689,214.1654 31.1383,214.1424 31.1038,214.1264 31.0663,214.1182 31.0269,214.1182 30.9867,214.1265 30.9471,214.143 30.9092,214.1673 30.8745,214.1985 30.8442,214.2355 30.8192,214.2771 30.8003,214.3218 30.7882,214.3681 30.7829,214.4146 30.7845,214.4599 30.7929,214.5029 30.8076,214.5423 30.8282,214.5772 30.8541,214.6066 30.8847,214.6296 30.9192,214.6456 30.9567,214.6538 30.9961,214.6538 31.0363,214.6455 31.0759,214.629 31.1138,214.6047 31.1485))",02-1-000999,13.8857,14.0814,13.7701,0.209122
"POLYGON((214.8928 31.2385,214.8697 31.259,214.8427 31.2756,214.8128 31.2877,214.7809 31.295,214.7481 31.2975,214.7154 31.2951,214.6838 31.288,214.6541 31.2764,214.627 31.2609,214.6034 31.2416,214.5839 31.2193,214.569 31.1944,214.5592 31.1676,214.5549 31.1397,214.5564 31.1114,214.5637 31.0838,214.5768 31.0576,214.5952 31.0339,214.6183 31.0134,214.6453 30.9968,214.6752 30.9847,214.7071 30.9774,214.7399 30.9749,214.7726 30.9773,214.8042 30.9844,214.8339 30.996,214.861 31.0115,214.8846 31.0308,214.9041 31.0531,214.919 31.078,214.9288 31.1048,214.9331 31.1327,214.9316 31.161,214.9243 31.1886,214.9112 31.2148,214.8928 31.2385))",02-1-001000,9.8025,9.90943,9.69566,0.206591
"POLYGON((215.7132 31.0227,215.7057 31.0505,215.6917 31.0763,215.6722 31.0988,215.6483 31.1175,215.6215 31.132,215.5928 31.1423,215.5631 31.1487,215.533 31.1512,215.503 31.15,215.4735 31.1452,215.4449 31.1368,215.4177 31.1248,215.3926 31.109,215.3704 31.0896,215.3522 31.0667,215.3393 31.0409,215.3326 31.0131,215.3328 30.9845,215.3403 30.9567,215.3543 30.9309,215.3738 30.9084,215.3977 30.8897,215.4245 30.8752,215.4532 30.8649,215.4829 30.8585,215.513 30.856,215.543 30.8572,215.5725 30.862,215.6011 30.8704,215.6283 30.8824,215.6534 30.8982,215.6756 30.9176,215.6938 30.9405,215.7067 30.9663,215.7134 30.9941,215.7132 31.0227))",02-1-001001,9.38072,9.95231,8.93908,0.439604
"POLYGON((208.8872 30.2378,208.8249 30.0858,208.7984 29.9267,208.8074 29.7673,208.8497 29.6136,208.9217 29.4703,209.0194 29.3411,209.1386 29.2285,209.2756 29.1341,209.427 29.0594,209.5897 29.0055,209.7608 28.9738,209.9368 28.9656,210.1139 28.9824,210.2872 29.0252,210.4509 29.0946,210.5985 29.19,210.7231 29.3089,210.8188 29.4472,210.8811 29.5992,210.9076 29.7583,210.8986 29.9177,210.8563 30.0714,210.7843 30.2147,210.6866 30.3439,210.5674 30.4565,210.4304 30.5509,210.279 30.6256,210.1163 30.6795,209.9452 30.7112,209.7692 30.7194,209.5921 30.7026,209.4188 30.6598,209.2551 30.5904,209.1076 30.495,208.9829 30.3761,208.8872 30.2378))",02-1-001003,53.7078,56.1806,52.5137,0.355357
"POLYGON((211.7873 30.1597,211.7965 30.0767,211.8297 29.9991,211.8818 29.9315,211.9464 29.8761,212.0181 29.8327,212.0932 29.8004,212.1697 29.7776,212.2466 29.7634,212.3238 29.7569,212.4013 29.7579,212.4793 29.7666,212.5577 29.7838,212.6357 29.8108,212.7112 29.8489,212.7808 29.8996,212.8392 29.9632,212.8797 30.0382,212.8967 30.1203,212.8875 30.2033,212.8543 30.2809,212.8022 30.3485,212.7376 30.4039,212.6659 30.4473,212.5908 30.4796,212.5143 30.5024,212.4374 30.5166,212.3602 30.5231,212.2827 30.5221,212.2047 30.5134,212.1263 30.4962,212.0483 30.4692,211.9728 30.4311,211.9032 30.3804,211.8448 30.3168,211.8043 30.2418,211.7873 30.1597))",02-1-001005,28.56,29.1151,23.2536,0.601759
"POLYGON((211.7642 30.2283,211.6969 30.2363,211.6295 30.2321,211.5651 30.2164,211.5061 30.1909,211.4541 30.1573,211.41 30.1174,211.3741 30.0728,211.3465 30.0246,211.3274 29.9738,211.3169 29.9212,211.3151 29.8674,211.3227 29.8134,211.3401 29.7603,211.3679 29.7094,211.4062 29.6629,211.4547 29.6229,211.5119 29.5917,211.5758 29.5715,211.6431 29.5635,211.7105 29.5677,211.7749 29.5834,211.8339 29.6089,211.8859 29.6425,211.93 29.6824,211.9659 29.727,211.9935 29.7752,212.0126 29.826,212.0231 29.8786,212.0249 29.9324,212.0173 29.9864,211.9999 30.0395,211.9721 30.0904,211.9338 30.1369,211.8853 30.1769,211.8281 30.2081,211.7642 30.2283))",02-1-001006,19.8862,20.5209,18.5596,0.426633
"POLYGON((211.4164 29.6182,211.4048 29.6655,211.383 29.7098,211.3521 29.7495,211.3138 29.7834,211.2696 29.8105,211.2213 29.8306,211.1703 29.8435,211.1179 29.8491,211.0654 29.8475,211.0138 29.8389,210.9642 29.8233,210.9177 29.801,210.8757 29.7721,210.8395 29.7371,210.8108 29.6967,210.7908 29.652,210.7809 29.6046,210.7816 29.5562,210.7932 29.5089,210.815 29.4646,210.8459 29.4249,210.8842 29.391,210.9284 29.3639,210.9767 29.3438,211.0277 29.3309,211.0801 29.3253,211.1326 29.3269,211.1842 29.3355,211.2338 29.3511,211.2803 29.3734,211.3223 29.4023,211.3585 29.4373,211.3872 29.4777,211.4072 29.5224,211.4171 29.5698,211.4164 29.6182))",02-1-001007,16.5292,16.8431,15.8855,0.332385
"POLYGON((211.9415 29.5909,211.8685 29.4837,211.8192 29.3668,211.7948 29.2445,211.7957 29.1207,211.8214 28.9995,211.8703 28.8844,211.9405 28.7786,212.0298 28.6849,212.1354 28.6054,212.2547 28.5424,212.3845 28.4974,212.5215 28.4719,212.6619 28.467,212.8018 28.4834,212.9368 28.521,213.0625 28.5792,213.1744 28.6564,213.2685 28.7503,213.3415 28.8575,213.3908 28.9744,213.4152 29.0967,213.4143 29.2205,213.3886 29.3417,213.3397 29.4568,213.2695 29.5626,213.1802 29.6563,213.0746 29.7358,212.9553 29.7988,212.8255 29.8438,212.6885 29.8693,212.5481 29.8742,212.4082 29.8578,212.2732 29.8202,212.1475 29.762,212.0356 29.6848,211.9415 29.5909))",02-1-001008,42.8928,43.4106,42.3449,0.220209
"POLYGON((212.8707 29.2005,212.8605 29.1484,212.8626 29.0959,212.8763 29.0452,212.9003 28.9982,212.933 28.9562,212.9726 28.9201,213.0176 28.8903,213.0669 28.8671,213.1192 28.8506,213.1738 28.841,213.2297 28.8386,213.2859 28.8436,213.3412 28.8566,213.394 28.8777,213.4424 28.9071,213.4842 28.9442,213.5172 28.9882,213.5393 29.0373,213.5495 29.0894,213.5474 29.1419,213.5337 29.1926,213.5097 29.2396,213.477 29.2816,213.4374 29.3177,213.3924 29.3475,213.3431 29.3707,213.2908 29.3872,213.2362 29.3968,213.1803 29.3992,213.1241 29.3942,213.0688 29.3812,213.016 29.3601,212.9676 29.3307,212.9258 29.2936,212.8928 29.2496,212.8707 29.2005))",02-1-001009,17.6784,18.392,16.8949,0.39519
"POLYGON((213.4786 29.1676,213.4557 29.1862,213.4293 29.2009,213.4004 29.2112,213.37 29.2169,213.339 29.2179,213.3083 29.2142,213.2789 29.206,213.2516 29.1936,213.227 29.1774,213.2059 29.1578,213.1889 29.1353,213.1765 29.1106,213.169 29.0844,213.1668 29.0573,213.17 29.0303,213.1787 29.004,213.1926 28.9796,213.2114 28.9576,213.2343 28.939,213.2607 28.9243,213.2896 28.914,213.32 28.9083,213.351 28.9073,213.3817 28.911,213.4111 28.9192,213.4384 28.9316,213.463 28.9478,213.4841 28.9674,213.5011 28.9899,213.5135 29.0146,213.521 29.0408,213.5232 29.0679,213.52 29.0949,213.5113 29.1212,213.4974 29.1456,213.4786 29.1676))",02-1-001010,9.44264,9.52351,9.35695,0.186207
"POLYGON((214.3608 29.6677,214.3339 29.6928,214.301 29.7111,214.2648 29.7223,214.2279 29.7268,214.1919 29.7258,214.1578 29.7203,214.126 29.7112,214.0964 29.699,214.0691 29.6841,214.044 29.6666,214.0211 29.6463,214.0007 29.6231,213.9836 29.5969,213.9707 29.5677,213.9635 29.5359,213.9637 29.5025,213.9728 29.4694,213.9912 29.4391,214.0181 29.414,214.051 29.3957,214.0872 29.3845,214.1241 29.38,214.1601 29.381,214.1942 29.3865,214.226 29.3956,214.2556 29.4078,214.2829 29.4227,214.308 29.4402,214.3309 29.4605,214.3513 29.4837,214.3684 29.5099,214.3813 29.5391,214.3885 29.5709,214.3883 29.6043,214.3792 29.6374,214.3608 29.6677))",02-1-001011,11.009,11.9619,9.7272,0.582007
"POLYGON((214.6487 28.7765,214.6374 28.8441,214.6107 28.908,214.5704 28.9655,214.5193 29.0147,214.46 29.0546,214.3949 29.0849,214.3262 29.1055,214.2556 29.1167,214.1842 29.1187,214.1132 29.1116,214.0438 29.0953,213.9773 29.0698,213.9153 29.035,213.8599 28.9909,213.8136 28.9382,213.7789 28.878,213.7582 28.8124,213.7533 28.7441,213.7646 28.6765,213.7913 28.6126,213.8316 28.5551,213.8827 28.5059,213.942 28.466,214.0071 28.4357,214.0758 28.4151,214.1464 28.4039,214.2178 28.4019,214.2888 28.409,214.3582 28.4253,214.4247 28.4508,214.4867 28.4856,214.5421 28.5297,214.5884 28.5824,214.6231 28.6426,214.6438 28.7082,214.6487 28.7765))",02-1-001012,22.5698,23.824,21.7559,0.407529
"POLYGON((211.4698 27.8793,211.4261 27.8901,211.381 27.8933,211.3362 27.8889,211.2934 27.8775,211.254 27.8597,211.2188 27.8365,211.1886 27.8087,211.164 27.7772,211.1454 27.7427,211.1331 27.7061,211.1274 27.6681,211.1286 27.6296,211.1371 27.5914,211.1529 27.5548,211.1759 27.5209,211.2057 27.491,211.2416 27.4665,211.2822 27.4485,211.3259 27.4377,211.371 27.4345,211.4158 27.4389,211.4586 27.4503,211.498 27.4681,211.5332 27.4913,211.5634 27.5191,211.588 27.5506,211.6066 27.5851,211.6189 27.6217,211.6246 27.6597,211.6234 27.6982,211.6149 27.7364,211.5991 27.773,211.5761 27.8069,211.5463 27.8368,211.5104 27.8613,211.4698 27.8793))",02-1-001014,13.6526,14.0034,13.2779,0.317699
"POLYGON((211.2622 27.8003,211.2127 27.6951,211.1891 27.5835,211.1912 27.4712,211.2167 27.3627,211.2626 27.2617,211.3255 27.1704,211.4024 27.0901,211.4908 27.0217,211.5888 26.9656,211.6949 26.9225,211.8075 26.8931,211.9251 26.8788,212.0458 26.8809,212.1664 26.9009,212.2832 26.9401,212.391 26.999,212.4844 27.0766,212.5578 27.1703,212.6073 27.2755,212.6309 27.3871,212.6288 27.4994,212.6033 27.6079,212.5574 27.7089,212.4945 27.8002,212.4176 27.8805,212.3292 27.9489,212.2312 28.005,212.1251 28.0481,212.0125 28.0775,211.8949 28.0918,211.7742 28.0897,211.6536 28.0697,211.5368 28.0305,211.429 27.9716,211.3356 27.894,211.2622 27.8003))",02-1-001015,37.5931,39.7458,35.9443,0.426779
"POLYGON((217.6195 29.893,217.5912 29.9237,217.557 29.9492,217.518 29.9687,217.4759 29.9817,217.4321 29.988,217.3881 29.9878,217.345 29.9812,217.3038 29.9687,217.2657 29.9506,217.2313 29.9275,217.2016 29.8999,217.1774 29.8682,217.1594 29.8333,217.1486 29.7959,217.1454 29.7573,217.1503 29.7185,217.1634 29.681,217.1845 29.6462,217.2128 29.6155,217.247 29.59,217.286 29.5705,217.3281 29.5575,217.3719 29.5512,217.4159 29.5514,217.459 29.558,217.5002 29.5705,217.5383 29.5886,217.5727 29.6117,217.6024 29.6393,217.6266 29.671,217.6446 29.7059,217.6554 29.7433,217.6586 29.7819,217.6537 29.8207,217.6406 29.8582,217.6195 29.893))",02-1-001031,13.3648,13.6781,13.1165,0.283618
"POLYGON((217.1174 29.7196,217.0326 29.7563,216.9417 29.7792,216.8477 29.7876,216.7538 29.7815,216.6627 29.7612,216.5772 29.7276,216.4998 29.6819,216.4325 29.6255,216.3771 29.56,216.3352 29.4874,216.3079 29.4095,216.2962 29.3286,216.3005 29.247,216.3209 29.167,216.3571 29.0912,216.4082 29.0219,216.4727 28.9616,216.5486 28.9122,216.6334 28.8755,216.7243 28.8526,216.8183 28.8442,216.9122 28.8503,217.0033 28.8706,217.0888 28.9042,217.1662 28.9499,217.2335 29.0063,217.2889 29.0718,217.3308 29.1444,217.3581 29.2223,217.3698 29.3032,217.3655 29.3848,217.3451 29.4648,217.3089 29.5406,217.2578 29.6099,217.1933 29.6702,217.1174 29.7196))",02-1-001032,28.5383,28.7302,28.2901,0.174374
"POLYGON((216.0013 28.7782,216.007 28.7296,216.0241 28.6833,216.0512 28.6414,216.0864 28.6053,216.1275 28.5758,216.1727 28.5529,216.2207 28.5368,216.2702 28.5271,216.3204 28.5237,216.3707 28.5266,216.4203 28.5358,216.4684 28.5515,216.514 28.5739,216.5555 28.6031,216.5911 28.6388,216.6187 28.6804,216.6364 28.7265,216.6427 28.7752,216.637 28.8238,216.6199 28.8701,216.5928 28.912,216.5576 28.9481,216.5165 28.9776,216.4713 29.0005,216.4233 29.0166,216.3738 29.0263,216.3236 29.0297,216.2733 29.0268,216.2237 29.0176,216.1756 29.0019,216.13 28.9795,216.0885 28.9503,216.0529 28.9146,216.0253 28.873,216.0076 28.8269,216.0013 28.7782))",02-1-001033,16.094,17.0484,15.3411,0.436186
"POLYGON((215.0315 29.4504,215.0176 29.4175,215.0127 29.3829,215.0162 29.3487,215.0271 29.3164,215.0438 29.287,215.0652 29.261,215.0901 29.2385,215.1179 29.2195,215.148 29.204,215.1801 29.1921,215.2141 29.184,215.2497 29.1799,215.2864 29.1804,215.3235 29.1862,215.3598 29.1978,215.3934 29.2157,215.4224 29.2397,215.4445 29.269,215.4584 29.3019,215.4633 29.3365,215.4598 29.3707,215.4489 29.403,215.4322 29.4324,215.4108 29.4584,215.3859 29.4809,215.3581 29.4999,215.328 29.5154,215.2959 29.5273,215.2619 29.5354,215.2263 29.5395,215.1896 29.539,215.1525 29.5332,215.1162 29.5216,215.0826 29.5037,215.0536 29.4797,215.0315 29.4504))",02-1-001034,11.4111,12.2249,10.572,0.502132
"POLYGON((213.6044 28.1865,213.411 28.1485,213.2332 28.0737,213.0791 27.9687,212.9532 27.8417,212.8565 27.7003,212.7883 27.5508,212.7465 27.3973,212.7295 27.2428,212.7358 27.089,212.7648 26.9373,212.817 26.7891,212.893 26.6465,212.9941 26.5124,213.1211 26.3916,213.2735 26.2901,213.4484 26.2153,213.6396 26.1742,213.8376 26.1721,214.031 26.2101,214.2088 26.2849,214.3629 26.3899,214.4888 26.5169,214.5855 26.6583,214.6537 26.8078,214.6955 26.9613,214.7125 27.1158,214.7062 27.2696,214.6772 27.4213,214.625 27.5695,214.549 27.7121,214.4479 27.8462,214.3209 27.967,214.1685 28.0685,213.9936 28.1433,213.8024 28.1844,213.6044 28.1865))",02-1-001035,61.8899,61.4068,53.4351,0.49273
"POLYGON((217.1795 28.3287,216.93 28.5118,216.6462 28.6479,216.3405 28.7332,216.0252 28.7669,215.7113 28.7509,215.4082 28.6886,215.1231 28.5841,214.862 28.4419,214.6298 28.2659,214.4308 28.0601,214.2696 27.8286,214.1508 27.5755,214.0792 27.306,214.0597 27.0269,214.096 26.7462,214.1904 26.4738,214.342 26.2206,214.5465 25.9977,214.796 25.8146,215.0798 25.6785,215.3855 25.5932,215.7008 25.5595,216.0147 25.5755,216.3178 25.6378,216.6029 25.7423,216.864 25.8845,217.0962 26.0605,217.2952 26.2663,217.4564 26.4978,217.5752 26.7509,217.6468 27.0204,217.6663 27.2995,217.63 27.5802,217.5356 27.8526,217.384 28.1058,217.1795 28.3287))",02-1-001036,97.0626,100.21,94.3401,0.337226
"POLYGON((216.9659 28.3834,216.9037 28.3723,216.8469 28.3481,216.7985 28.3139,216.76 28.273,216.7309 28.2284,216.7107 28.1822,216.6981 28.1355,216.6924 28.089,216.6931 28.0428,216.6999 27.9969,216.713 27.9515,216.7329 27.9069,216.7605 27.8637,216.7964 27.8232,216.8412 27.7876,216.8945 27.7598,216.9546 27.743,217.0181 27.7398,217.0803 27.7509,217.1371 27.7751,217.1855 27.8093,217.224 27.8502,217.2531 27.8948,217.2733 27.941,217.2859 27.9877,217.2916 28.0342,217.2909 28.0804,217.2841 28.1263,217.271 28.1717,217.2511 28.2163,217.2235 28.2595,217.1876 28.3,217.1428 28.3356,217.0895 28.3634,217.0294 28.3802,216.9659 28.3834))",02-1-001037,17.8458,19.5684,16.0385,0.572917
"POLYGON((215.4795 27.9004,215.4086 27.9151,215.3361 27.9173,215.2648 27.9074,215.1973 27.8862,215.1358 27.8552,215.0816 27.8158,215.0358 27.7695,214.999 27.7177,214.9719 27.6617,214.9549 27.6026,214.9485 27.5417,214.953 27.4803,214.9689 27.4197,214.9964 27.3619,215.0354 27.3087,215.0851 27.2623,215.1441 27.2249,215.2105 27.1982,215.2814 27.1835,215.3539 27.1813,215.4252 27.1912,215.4927 27.2124,215.5542 27.2434,215.6084 27.2828,215.6542 27.3291,215.691 27.3809,215.7181 27.4369,215.7351 27.496,215.7415 27.5569,215.737 27.6183,215.7211 27.6789,215.6936 27.7367,215.6546 27.7899,215.6049 27.8363,215.5459 27.8737,215.4795 27.9004))",02-1-001038,21.361,22.4877,21.1851,0.335409
"POLYGON((219.2904 29.5296,219.2415 29.5213,219.1956 29.5049,219.1545 29.4812,219.1196 29.4516,219.0915 29.4175,219.0706 29.3802,219.057 29.341,219.0506 29.3007,219.0513 29.2603,219.0589 29.2204,219.0734 29.1817,219.0948 29.1453,219.1229 29.1118,219.1575 29.0826,219.198 29.0589,219.2432 29.042,219.2918 29.0329,219.3416 29.0324,219.3905 29.0407,219.4364 29.0571,219.4775 29.0808,219.5124 29.1104,219.5405 29.1445,219.5614 29.1818,219.575 29.221,219.5814 29.2613,219.5807 29.3017,219.5731 29.3416,219.5586 29.3803,219.5372 29.4167,219.5091 29.4502,219.4745 29.4794,219.434 29.5031,219.3888 29.52,219.3402 29.5291,219.2904 29.5296))",02-1-001039,14.6121,15.1354,14.0605,0.370123
"POLYGON((219.627 28.9488,219.5783 28.9963,219.5198 29.034,219.4546 29.0604,219.3858 29.0755,219.3161 29.0797,219.2476 29.0738,219.182 29.0587,219.1204 29.0354,219.0637 29.0046,219.0127 28.9669,218.9683 28.9228,218.9316 28.8729,218.9038 28.8177,218.8866 28.7583,218.8816 28.6962,218.89 28.6336,218.9126 28.5732,218.949 28.5178,218.9977 28.4703,219.0562 28.4326,219.1214 28.4062,219.1902 28.3911,219.2599 28.3869,219.3284 28.3928,219.394 28.4079,219.4556 28.4312,219.5123 28.462,219.5633 28.4997,219.6077 28.5438,219.6444 28.5937,219.6722 28.6489,219.6894 28.7083,219.6944 28.7704,219.686 28.833,219.6634 28.8934,219.627 28.9488))",02-1-001040,21.3253,22.2673,20.3202,0.408943
"POLYGON((219.7888 29.9988,219.7677 29.9608,219.7555 29.92,219.7524 29.8782,219.7581 29.837,219.772 29.7976,219.7931 29.7612,219.8206 29.7286,219.8535 29.7004,219.891 29.6771,219.9322 29.6591,219.9763 29.6468,220.0224 29.6408,220.0694 29.6415,220.116 29.649,220.1608 29.6637,220.202 29.6855,220.238 29.7137,220.2672 29.7476,220.2883 29.7856,220.3005 29.8264,220.3036 29.8682,220.2979 29.9094,220.284 29.9488,220.2629 29.9852,220.2354 30.0178,220.2025 30.046,220.165 30.0693,220.1238 30.0873,220.0797 30.0996,220.0336 30.1056,219.9866 30.1049,219.94 30.0974,219.8952 30.0827,219.854 30.0609,219.818 30.0327,219.7888 29.9988))",02-1-001041,14.4858,14.708,13.9073,0.325436
"POLYGON((220.5452 33.2758,220.3633 33.2273,220.1958 33.1511,220.0483 33.0505,219.9255 32.9299,219.8303 32.7938,219.7644 32.6471,219.7287 32.494,219.723 32.3388,219.7469 32.1852,219.7997 32.0369,219.8803 31.8973,219.9873 31.7702,220.1186 31.6591,220.2715 31.5681,220.4422 31.5006,220.6255 31.46,220.8153 31.4486,221.0048 31.4674,221.1867 31.5159,221.3542 31.5921,221.5017 31.6927,221.6245 31.8133,221.7197 31.9494,221.7856 32.0961,221.8213 32.2492,221.827 32.4044,221.8031 32.558,221.7503 32.7063,221.6697 32.8459,221.5627 32.973,221.4314 33.0841,221.2785 33.1751,221.1078 33.2426,220.9245 33.2832,220.7347 33.2946,220.5452 33.2758))",02-1-001048,54.9776,56.0883,53.8589,0.279136
